title,date,tags,company,link
AWS ALB로 부터 반환되는 502 bad gateway 에러 트러블슈팅,2023.11.07,aws#fastapi,데보션,https://devocean.sk.com/blog/sub/index.do?ID=&boardType=&searchData=&page=1&subIndex=%EC%B5%9C%EC%8B%A0+%EA%B8%B0%EC%88%A0+%EB%B8%94%EB%A1%9C%EA%B7%B8#none
K3s로 multi kubernetes 구축하기,2023.11.06,kubernetes,데보션,https://devocean.sk.com/blog/sub/index.do?ID=&boardType=&searchData=&page=1&subIndex=%EC%B5%9C%EC%8B%A0+%EA%B8%B0%EC%88%A0+%EB%B8%94%EB%A1%9C%EA%B7%B8#none
Spring Boot 컨테이너 이미지 사이즈 경량화 방법,2023.11.03,spring#docker,데보션,https://devocean.sk.com/blog/sub/index.do?ID=&boardType=&searchData=&page=1&subIndex=%EC%B5%9C%EC%8B%A0+%EA%B8%B0%EC%88%A0+%EB%B8%94%EB%A1%9C%EA%B7%B8#none
GPT 모델 크기 계산 방법,2023.11.02,data architecture#tensorflow#pytorch#mxnet#keras#caffe,데보션,https://devocean.sk.com/blog/sub/index.do?ID=&boardType=&searchData=&page=1&subIndex=%EC%B5%9C%EC%8B%A0+%EA%B8%B0%EC%88%A0+%EB%B8%94%EB%A1%9C%EA%B7%B8#none
제5회 테크데이 리뷰하기 - 팔로워의 시선,2023.11.01,devocean 운영,데보션,https://devocean.sk.com/blog/sub/index.do?ID=&boardType=&searchData=&page=1&subIndex=%EC%B5%9C%EC%8B%A0+%EA%B8%B0%EC%88%A0+%EB%B8%94%EB%A1%9C%EA%B7%B8#none
ChatGPT : Chat with Images로 이젠 본다 (사용법),2023.10.31,tensorflow#pytorch,데보션,https://devocean.sk.com/blog/sub/index.do?ID=&boardType=&searchData=&page=1&subIndex=%EC%B5%9C%EC%8B%A0+%EA%B8%B0%EC%88%A0+%EB%B8%94%EB%A1%9C%EA%B7%B8#none
웹 프론트엔드 성능 측정 방법  및 Tips (1),2023.10.30,performance optimization#uiux#agile,데보션,https://devocean.sk.com/blog/sub/index.do?ID=&boardType=&searchData=&page=1&subIndex=%EC%B5%9C%EC%8B%A0+%EA%B8%B0%EC%88%A0+%EB%B8%94%EB%A1%9C%EA%B7%B8#none
[네트워크] WSGI와 Python 2편,2023.10.30,python#flask#fastapi#django,데보션,https://devocean.sk.com/blog/sub/index.do?ID=&boardType=&searchData=&page=1&subIndex=%EC%B5%9C%EC%8B%A0+%EA%B8%B0%EC%88%A0+%EB%B8%94%EB%A1%9C%EA%B7%B8#none
[Kotlin] 코틀린 환경설정 ＆ CLI 이용하기,2023.10.26,programming language#spring,데보션,https://devocean.sk.com/blog/sub/index.do?ID=&boardType=&searchData=&page=1&subIndex=%EC%B5%9C%EC%8B%A0+%EA%B8%B0%EC%88%A0+%EB%B8%94%EB%A1%9C%EA%B7%B8#none
AKS로 쿠버네티스 시작하기 :  보안성,2023.10.25,kubernetes#정보보안#azure,데보션,https://devocean.sk.com/blog/sub/index.do?ID=&boardType=&searchData=&page=1&subIndex=%EC%B5%9C%EC%8B%A0+%EA%B8%B0%EC%88%A0+%EB%B8%94%EB%A1%9C%EA%B7%B8#none
Vector Database(Milvus) 도입 검토를 위한 Quick Start,2023.10.24,devops,데보션,https://devocean.sk.com/blog/sub/index.do?ID=&boardType=&searchData=&page=2&subIndex=%EC%B5%9C%EC%8B%A0+%EA%B8%B0%EC%88%A0+%EB%B8%94%EB%A1%9C%EA%B7%B8#none
Kakao OpenAPI 를 활용한 나만의 도서검색 앱 구현해보기 (ft. Volley Library),2023.10.23,andorid,데보션,https://devocean.sk.com/blog/sub/index.do?ID=&boardType=&searchData=&page=2&subIndex=%EC%B5%9C%EC%8B%A0+%EA%B8%B0%EC%88%A0+%EB%B8%94%EB%A1%9C%EA%B7%B8#none
SpringBoot 으로 MSA 구현하기(4) - Spring Web MVC 기능(3),2023.10.20,spring#programming language,데보션,https://devocean.sk.com/blog/sub/index.do?ID=&boardType=&searchData=&page=2&subIndex=%EC%B5%9C%EC%8B%A0+%EA%B8%B0%EC%88%A0+%EB%B8%94%EB%A1%9C%EA%B7%B8#none
MSA에서 Gateway 활용하기 (기존 API를 Wrapping하기),2023.10.19,technical architecture#python#fastapi#django#data architecture#agile,데보션,https://devocean.sk.com/blog/sub/index.do?ID=&boardType=&searchData=&page=2&subIndex=%EC%B5%9C%EC%8B%A0+%EA%B8%B0%EC%88%A0+%EB%B8%94%EB%A1%9C%EA%B7%B8#none
LangChain으로 크롤링을 해보자,2023.10.18,python,데보션,https://devocean.sk.com/blog/sub/index.do?ID=&boardType=&searchData=&page=2&subIndex=%EC%B5%9C%EC%8B%A0+%EA%B8%B0%EC%88%A0+%EB%B8%94%EB%A1%9C%EA%B7%B8#none
개발자의 글쓰기 : Technical Writing #1,2023.10.17,uiux,데보션,https://devocean.sk.com/blog/sub/index.do?ID=&boardType=&searchData=&page=2&subIndex=%EC%B5%9C%EC%8B%A0+%EA%B8%B0%EC%88%A0+%EB%B8%94%EB%A1%9C%EA%B7%B8#none
